serialNumber,type
AL-987654,handgun
KA-PI-0001,pistol
KA-HA-0002,handgun
KA-HA-0003,handgun
KA-KN-0004,knife
KA-HA-0005,handgun
KA-KN-0006,knife
KA-KN-0007,knife
KA-HA-0008,handgun
KA-HA-0009,handgun
KA-HA-0010,handgun
KA-KN-0011,knife
KA-KN-0012,knife
KA-HA-0013,handgun
KA-KN-0014,knife
KA-HA-0015,handgun
KA-KN-0016,knife
KA-PI-0017,pistol
KA-KN-0018,knife
KA-PI-0019,pistol
KA-HA-0020,handgun
KA-KN-0021,knife
KA-HA-0022,handgun
KA-HA-0023,handgun
KA-PI-0024,pistol
KA-KN-0025,knife
KA-KN-0026,knife
KA-PI-0027,pistol
KA-HA-0028,handgun
KA-PI-0029,pistol
KA-KN-0030,knife
KA-PI-0031,pistol
KA-HA-0032,handgun
KA-PI-0033,pistol
KA-HA-0034,handgun
KA-HA-0035,handgun
KA-HA-0036,handgun
KA-HA-0037,handgun
KA-HA-0038,handgun
KA-HA-0039,handgun
DE-BA-0040,baton
DE-BA-0041,baton
DE-PI-0042,pistol
DE-PI-0043,pistol
DE-KN-0044,knife
DE-KN-0045,knife
DE-PI-0046,pistol
DE-PI-0047,pistol
ANON-M-0048,molotov
ANON-M-0049,molotov
TE-AK-0050,ak-47
TE-RI-0051,rifle
TE-IM-0052,improvised explosive
TE-RI-0053,rifle
TE-AK-0054,ak-47
SO-BR-0055,brass knuckles
SO-SW-0056,switchblade
SO-SW-0057,switchblade
SO-BR-0058,brass knuckles
SO-BR-0059,brass knuckles
GR-IL-0060,illicit handgun
GR-KN-0061,knife
KY-HG-1001,handgun
KY-KN-1002,knife
KY-HG-1003,handgun
KY-KN-1004,knife
KY-HG-1005,handgun
KY-HG-1006,handgun
SH-PT-1007,pistol
SH-KN-1008,knife
SH-PT-1009,pistol
SH-KN-1010,knife
SH-PT-1011,pistol
ANON-M-1012,molotov
ANON-M-1013,molotov
ANON-I-1014,improvised
BT-PG-1015,pocket gun
BT-BK-1016,brass knuckles
BT-PG-1017,pocket gun
BT-BK-1018,brass knuckles
BT-PG-1019,pocket gun
SM-RF-1020,rifle
SM-PG-1021,pocket gun
SM-PG-1022,pocket gun
SM-RF-1023,rifle
