personID,incidentID,role,method,statementGiven
2042,INC1001,offender,break-in,false
1031,INC1001,victim,,true
1031,INC1002,offender,handgun,false
2042,INC1002,victim,,false
3097,INC1002,witness,,true
3097,INC1002,victim,,true
4120,INC2004,offender,arson,false
1031,INC2004,witness,,true
5092,INC3006,victim,,false
5093,INC3006,victim,,false
5094,INC3006,victim,,false
5095,INC3006,victim,,false
5096,INC3006,victim,,false
5097,INC3006,victim,,false
5098,INC3006,victim,,false
5099,INC3006,victim,,false
5100,INC3006,victim,,false
5101,INC3006,victim,,false
5102,INC3006,victim,,false
5103,INC3006,victim,,false
5104,INC3006,victim,,false
5105,INC3006,victim,,false
5106,INC3006,victim,,false
5040,INC3007,offender,,false
5107,INC3007,victim,,true
5110,INC3007,victim,,true
5048,INC3008,offender,break-in,false
5108,INC3008,victim,,true
5111,INC3008,victim,,true
5055,INC3009,offender,arson,false
5109,INC3009,victim,,true
5112,INC3009,victim,,true
5113,INC3009,victim,,true

