personID,groupName
1031,Karanlık Yol
2042,Demir Yumruk
3097,Demir Yumruk
4120,Gece Ateşi
5020,Demir Yumruk
5021,Demir Yumruk
5022,Demir Yumruk
5023,Demir Yumruk
5024,Demir Yumruk
5025,Demir Yumruk
5026,Gece Ateşi
5027,Gece Ateşi
5028,Gece Ateşi
5029,Gece Ateşi
5030,Gece Ateşi
5031,Tevhid Birliği
5032,Tevhid Birliği
5033,Tevhid Birliği
5034,Sokak Baronu
5035,Sokak Baronu
5036,Sokak Baronu
5037,Sokak Baronu
5040,Hilal Kardeşliği
5041,Hilal Kardeşliği
5042,Hilal Kardeşliği
5043,Hilal Kardeşliği
5044,Hilal Kardeşliği
5045,Hilal Kardeşliği
5046,Hilal Kardeşliği
5047,Hilal Kardeşliği
5048,Siyah Hilal
5049,Siyah Hilal
5050,Siyah Hilal
5051,Siyah Hilal
5052,Siyah Hilal
5053,Siyah Hilal
5054,Siyah Hilal
5055,Ateş Pençesi
5056,Ateş Pençesi
5057,Ateş Pençesi
5058,Ateş Pençesi
5059,Ateş Pençesi
5060,Ateş Pençesi
5061,Ateş Pençesi
5062,Ateş Pençesi
5063,Bozkurt Timleri
5064,Bozkurt Timleri
5065,Bozkurt Timleri
5066,Bozkurt Timleri
5067,Bozkurt Timleri
5068,Bozkurt Timleri
5069,Bozkurt Timleri
5070,Şafak Muhafızları
5071,Şafak Muhafızları
5072,Şafak Muhafızları
5073,Şafak Muhafızları
5074,Şafak Muhafızları
5075,Şafak Muhafızları
5076,Şafak Muhafızları
