serialNumber,personID
AL-987654,1031
KA-PI-0001,5000
KA-HA-0002,5000
KA-HA-0003,5000
KA-KN-0004,5001
KA-HA-0005,5001
KA-KN-0006,5002
KA-KN-0007,5002
KA-HA-0008,5002
KA-HA-0009,5003
KA-HA-0010,5003
KA-KN-0011,5004
KA-KN-0012,5005
KA-HA-0013,5006
KA-KN-0014,5006
KA-HA-0015,5006
KA-KN-0016,5007
KA-PI-0017,5007
KA-KN-0018,5007
KA-PI-0019,5008
KA-HA-0020,5008
KA-KN-0021,5008
KA-HA-0022,5009
KA-HA-0023,5009
KA-PI-0024,5009
KA-KN-0025,5010
KA-KN-0026,5010
KA-PI-0027,5011
KA-HA-0028,5012
KA-PI-0029,5013
KA-KN-0030,5013
KA-PI-0031,5014
KA-HA-0032,5015
KA-PI-0033,5016
KA-HA-0034,5017
KA-HA-0035,5018
KA-HA-0036,5018
KA-HA-0037,5018
KA-HA-0038,5019
KA-HA-0039,5019
DE-BA-0040,5020
DE-BA-0041,5020
DE-PI-0042,5021
DE-PI-0043,5021
DE-KN-0044,5022
DE-KN-0045,5023
DE-PI-0046,5024
DE-PI-0047,5025
TE-AK-0050,5031
TE-RI-0051,5031
TE-IM-0052,5032
TE-RI-0053,5033
TE-AK-0054,5033
SO-BR-0055,5034
SO-SW-0056,5035
SO-SW-0057,5036
SO-BR-0058,5037
SO-BR-0059,5037
GR-IL-0060,5038
GR-KN-0061,5039
KY-HG-1001,5040
KY-KN-1002,5041
KY-HG-1003,5042
KY-KN-1004,5043
KY-HG-1005,5044
KY-HG-1006,5045
SH-PT-1007,5048
SH-KN-1008,5049
SH-PT-1009,5050
SH-KN-1010,5051
SH-PT-1011,5052
BT-PG-1015,5063
BT-BK-1016,5064
BT-PG-1017,5065
BT-BK-1018,5066
BT-PG-1019,5067
SM-RF-1020,5070
SM-PG-1021,5071
SM-PG-1022,5072
SM-RF-1023,5073
