serialNumber,incidentID
AL-987654,INC1002
KA-HA-0005,INC1002
KA-HA-0008,INC1003
KA-HA-0009,INC1001
KA-KN-0016,INC1003
KA-PI-0019,INC1002
KA-HA-0022,INC1001
KA-HA-0023,INC1001
KA-PI-0024,INC1002
KA-KN-0026,INC2004
KA-HA-0028,INC2004
KA-KN-0030,INC1001
KA-HA-0032,INC2004
KA-PI-0033,INC2004
KA-HA-0035,INC1001
KA-HA-0037,INC2004
KA-HA-0039,INC1001
DE-PI-0042,INC1002
DE-PI-0047,INC1001
ANON-M-0049,INC1003
TE-RI-0051,INC2004
TE-AK-0054,INC1001
SO-BR-0055,INC1003
TE-RI-0051,INC2004
TE-AK-0054,INC1001
TE-IM-0052,INC3006
